Tailcode,Model,TypeCode,Manufacturer,StartingPosition,Seats,CabinCrewRequired
G-DAJC,767,B767,Boeing,LGW,326,8
G-TCCA,767,B767,Boeing,MAN,326,8
G-TCCB,767,B767,Boeing,BHX,326,8
G-JMAA,757,B757,Boeing,LGW,280,6
G-JMAB,757,B757,Boeing,MAN,280,6
G-JMOF,757,B757,Boeing,BHX,275,6
G-JMOG,757,B760,Boeing,LGW,275,6
G-JMOE,757,B761,Boeing,STN,275,6
LY-VEV,A320,A320,Airbus,BFS,180,4
LY-VEP,A320,A320,Airbus,GLA,180,4
LY-VEI,A320,A320,Airbus,NCL,180,4
LY-VEL,A320,A320,Airbus,STN,180,4
LY-VEN,A320,A320,Airbus,EMA,180,4
LY-VEP,A320,A320,Airbus,CWL,180,4
LY-VEF,A320,A320,Airbus,CWL,180,4
YL-LCO,A320,A320,Airbus,BHX,180,4
YL-LCL,A320,A320,Airbus,BFS,180,4
YL-LCS,A320,A320,Airbus,EMA,180,4
YL-LCT,A320,A320,Airbus,LGW,180,4
G-TCAE,A320,A320,Airbus,MAN,180,4
G-NIKO,A321,A321,Airbus,MAN,220,5
G-DHJH,A321,A321,Airbus,STN,220,5
G-TCVA,A321,A321,Airbus,LGW,220,5
G-TCVB,A321,A321,Airbus,LGW,220,5
G-TCVC,A321,A321,Airbus,STN,220,5
G-TCVD,A321,A321,Airbus,BHX,220,5
G-TCDA,A321,A321,Airbus,LGW,220,5
G-TCDB,A321,A321,Airbus,GLA,220,5
G-TCDC,A321,A321,Airbus,MAN,220,5
G-TCDD,A321,A321,Airbus,STN,220,5
G-TCDE,A321,A321,Airbus,BHX,220,5
G-TCDF,A321,A321,Airbus,NCL,220,5
G-TCDH,A321,A321,Airbus,BFS,220,5
G-TCDJ,A321,A321,Airbus,LGW,220,5
G-TCDK,A321,A321,Airbus,LGW,220,5
G-TCDL,A321,A321,Airbus,LGW,220,5
G-TCDM,A321,A321,Airbus,MAN,220,5
G-TCDN,A321,A321,Airbus,BFS,220,5
G-TCDO,A321,A321,Airbus,NCL,220,5
G-TCDP,A321,A321,Airbus,EMA,220,5
G-TCDR,A321,A321,Airbus,BHX,220,5
G-TCDY,A321,A321,Airbus,MAN,220,5
G-TCDZ,A321,A321,Airbus,MAN,220,5
G-TCDX,A321,A321,Airbus,LGW,220,5
G-MLJL,A330,A330,Airbus,LGW,322,8
G-CHTZ,A330,A330,Airbus,LGW,313,8
G-TCXB,A330,A330,Airbus,MAN,322,8
G-TCXC,A330,A330,Airbus,BHX,322,8
